HOT cruises
 Cru No   Tsn   Tcorr No      Tcorr   Slag
    1    886         1     -0.01760       1
    2    886         1     -0.01700       1
    3    741         1     -0.00980       1
    4    886         1     -0.01540       1
    5    886         1     -0.01490       2
    6    886         1     -0.01400       2
    7    886         1     -0.01330       1
    8    886         1     -0.01270       1
    9    886         1     -0.01220       1
   10    886         1     -0.01170       1
   11    741         1     -0.00670       1
   12    741         1     -0.00620       1
   13    741         1     -0.00570       1
   14    741         1     -0.00540       2
   15    886         1     -0.00850       2
   16    886         1     -0.00800       2
   17    886         1     -0.00750       2
   18    886         1     -0.00680       1
   19    886         1     -0.00610       1
   20    886         1     -0.00510       1
   22    886         1     -0.00340       1
   23    886         1     -0.00250       1
   24    886         1     -0.00200       1
   25    886         1     -0.00130       1
   26    886         1     -0.00080       1
   27    886         1     -0.00030       1
   28    886         1      0.00030       1
   29    886         1      0.00090       1
   30    886         1      0.00160      -1
   31    886         1      0.00220      -1
   32    886         1      0.00300      -1
   33    886         1      0.00360      -1
   34    886         1      0.00290      -1
   35    886         1      0.00270      -1
   36    886         1      0.00230      -1
   37    886         1      0.00180      -1
   38    886         1      0.00160      -1
   39    886         1      0.00130      -1
   40    886         1      0.00080      -1
   41    886         1      0.00060      -2
   44    886         1      0.00100      -1
   45    886         1      0.00080      -1
   46    886         1      0.00040      -1
   47    886         1      0.00010      -1
   48    886         1     -0.00040      -1
   49    741         1      0.00000       0
   49    886         1     -0.00080      -1
   50    886         1     -0.00110      -1
   51    886         1     -0.00025      -1
   52    886         1     -0.00041      -1
   53    886         1     -0.00054      -1
   53    741         1      0.00009      -1
   54    886         1      0.00045       0
   54    1416        1      0.00002      -2.0
   54    1416        2      0.00002      -1.0
   55    1591        1      0.00017       0.0
   55    1601        1      0.00060      -1.0
   55    1601        2      0.00060      -2.0
   56    1591        1     -0.00017       0
   56    1601        1     -0.00060      -2.0
   56    1601        2     -0.00060      -3.0
   56    1601        3     -0.00060      -3.0
   56    1601        4     -0.00060      -4.0
   57    1591        1     -0.00039       0
   57    1601        1     -0.00139      -1.0
   57    1601        2     -0.00139      -2.0
   57    1601        3     -0.00139      -2.0
   58    1591      1     -0.00059       0.0
   58    1591      2     -0.00059      -1.0
   58     886        1    -0.00054      -2.0
   58     886        2    -0.00054      -3.0
   58     886        3    -0.00054      -6.0
   59    1591      1     -0.00015       0.0
   59    1591      2     -0.00015       1.0
   59     886        1     0.00073      -3.0
   59     886        2      0.00073      -2.0
   60     741        1     -0.00003       0.0
   60    1416        1      0.00006      -2.0
   60    1416        2      0.00006      -4.0
   60    1416        3      0.00006      -3.0
   61     741        1     -0.00005       0.0
   61    1416        1     -0.00011      -2.0
   61    1416        2     -0.00011      -3.0
   61    1416        3     -0.00011      -4.0
   61    1416        4     -0.00011      -5.0
   62     741        1     -0.00007       0.0
   62     741        2     -0.00007       1.0
   62    1416        1     -0.00033      -2.0
   63     741        1     -0.00009       0.0
   63    1416        1     -0.00054      -2.0
   64     741        1     -0.00015       0.0
   64    1416        1     -0.00110      -2.0
   65     741        1      0.00003       0.0
   65    1416        1     -0.00130      -2.0
   66     741        1      0.00002       0.0
   66    1416        1     -0.00150      -1.0
   66    1416        2     -0.00150      -2.0
   67     741        1      0.00000       0.0
   67    1416        1     -0.00170      -2.0
   67    1416        2     -0.00170      -2.0
   68     741        1     -0.00001       0.0
   68    1416        1     -0.00191      -2.0
   69     741        1      0.000144      0.0
   69    1416        1     -0.000624     -2.0
   70     741        1      0.000058      0.0
   70    1416        1     -0.001053     -2.0
   71     741        1      0.000023      0.0
   71    1416        1     -0.001224     -2.0
   72     741        1     -0.000011      1.0 
   72    1591        1     -0.000536     -2.0
   73    1416        1     -0.001610      0.0
   73    1591        1     -0.000644     -3.0
   74    1416        1     -0.001799      0.0
   74    1591        1     -0.000739     -3.0
   75    1416        1     -0.001952      0.0
   75    1591        1     -0.000816     -1.0
   76    1416        1     -0.002216      0.0
   76    1591        1     -0.000948     -3.0
   77     741        1     -0.000209      0.0 
   77    1416        1     -0.002381     -2.0
   78     741        1     -0.000261      0.0 
   78    1591        1     -0.001161     -1.0
   79    2242        1     -0.000015      0.0 
   79    1416        1      0.000228     -2.0
   80    2202        1      0.000068      0.0
   80    1591        1      0.000217     -2.0
   81    2242        1     -0.000006      0.0
   81    1416        1      0.000043     -2.0
   82    2242        1     -0.000002      0.0
   82    1416        1     -0.000038     -1.0
   83    2202        1      0.000024      0.0
   83     741        1     -0.000130     -2.0
   84    2202        1      0.000008      0.0
   84     741        1     -0.000166     -3.0
   85    2202        1     -0.000008      0.0
   85    2242        1      0.000010     -3.0
   86    2202        1     -0.000026      0.0
   86    2242        1      0.000015     -3.0
   87    2202        1     -0.000057      0.0
   87    2242        1      0.000023     -2.0
   88    1416        1     -0.000730      0.0
   88    2242        1      0.000033     -3.0
   89    2242        1     -0.000026      0.0
   89    2472        1     -0.001334     -2.0
   90    2242        1     -0.000020      0.0
   90    2472        1     -0.001171     -2.0
   91    2242        1     -0.000016      0.0
   91    2472        1     -0.001058     -1.0
   92    2242        1     -0.000011      0.0
   92    2472        1     -0.000941     -3.0
   93    2242        1     -0.000007      0.0
   93    2472        1     -0.000824     -3.0
   94    2242        1     -0.000002      0.0
   94    2472        1     -0.000678     -2.0
   95    2242        1      0.000003      0.0
   95    2472        1     -0.000560     -2.0
   96    2242        1      0.000007      0.0
   96    2472        1     -0.000456     -3.0
   97    2242        1      0.000014      0.0
   97    2472        1     -0.000247     -2.0
   98    2242        1      0.000018      0.0
   98    2472        1     -0.000159     -1.0
   99    2242        1      0.000021      0.0
   99    2472        1     -0.000063     -2.0
  100    2242        1      0.000025      0.0
  100    2472        1      0.000054     -2.0
  101    2242        1     -0.000004      0.0
  101    2472        1      0.000199     -2.0
  102    2242        1      0.000007      0.0
  102    2472        1      0.000355     -2.0
  103    2242        1      0.000015      0.0
  103    2472        1      0.000470     -2.0
  104    2242        1      0.000023      0.0
  104    1591        1     -0.000396     -2.0
  105    2242        1      0.000030      0.0
  105    1591        1     -0.000493     -1.0
  105    1591        2     -0.000493     -2.0
  105    2454        1     -0.000605     -2.0
  106    2242        1      0.000049      0.0
  106    2454        1     -0.000406     -2.0
  106    2700        1     -0.000460     -2.0
  107    2700        1     -0.000355     -2.0
  107    2700        2     -0.000355      0.0
  107    1416        1      0.000028     -2.0
  107     741        1     -0.000065      0.0
  107    2242        1      0.000058      0.0
  108    2700        1     -0.000136      0.0
  108    2242        1      0.000076     -2.0
  109    2700        1     -0.000052      0.0
  109    2242        1      0.000083     -2.0
  110    2700        1      0.000077      0.0
  110    2242        1      0.000094     -2.0
  111    2700        1     -0.000039       0.0
  111    2242        1     -0.000047      -2.0
  112    2700        1     -0.000008       0.0
  112    2242        1     -0.000042      -2.0
  113    2700        1      0.000022       0.0
  113    2242        1     -0.000037      -2.0
  114    2700        1      0.000051       0.0
  114    2242        1     -0.000032      -2.0
  115    2700        1      0.000082       0.0
  115    2242        1     -0.000028      -2.0
  116    2454        1     -0.000032       0.0
  116    2242        1     -0.000023      -2.0
  117    2454        1      0.000040       0.0
  117    2242        1     -0.000017      -2.0
  118    2454        1      0.000093       0.0
  118    2242        1     -0.000012      -2.0
  119    2700        1      0.000260       0.0
  119    2242        1     -0.000003      -2.0
  120    2700        1      0.000413       0.0
  120    2242        1      0.000005      -2.0
  121    2700        1      0.000479       0.0
  121    2242        1      0.000008      -2.0
  122    2454        1     -0.000220       0.0
  122    2242        1      0.000037      -2.0
  123    2700        1     -0.000094       0.0
  123    2242        1     -0.000067      -2.0
  124    2700        1     -0.000019       0.0
  124    2242        1     -0.000197      -2.0
  125    2700        1      0.000041       0.0
  125    2242        1     -0.000301      -2.0
  126    2700        1      0.000101       0.0
  126    2242        1     -0.000406      -2.0
  127    2700        1      0.000163       0.0
  127    2242        1     -0.000514      -2.0
  128    2454        1      0.000019       0.0
  128    2242        1     -0.000614      -2.0
  129    2454        1      0.000057       0.0
  129    2242        1     -0.000718      -2.0
  129    2242        2     -0.000718       0.0
  129    2454        2      0.000057      -2.0
  130    2454        1      0.000132       0.0
  130    2242        1     -0.000923      -1.0
  131    2454        1      0.000161       0.0
  131    2242        1     -0.001001      -1.0
  132    2454        1      0.000195       0.0
  132    2242        1     -0.001094      -1.0
  133    2454        1      0.000232       0.0
  133    2242        1     -0.001195      -1.0
  134    2454        1     -0.000035       0.0
  134    2242        1      0.000054      -1.0
  135    2454        1     -0.000026       0.0
  135    2242        1     -0.000085      -1.0
  136    2454        1     -0.000021       0.0
  136    2242        1     -0.000162      -1.0
  137    2454        1     -0.000003       0.0
  137    2242        1     -0.000429      -1.0
  138    2454        1      0.000007       0.0
  138    2242        1     -0.000580      -1.0
  139    2454        1      0.000023       0.0
  139    2242        1     -0.000812      -1.0
  140    2454        1      0.000033       0.0
  140    2242        1     -0.000967      -2.0
  140    2242        2     -0.000967      -1.0
  141    2454        1      0.000040       0.0
  141    2242        1     -0.001075      -1.0
  142    2454        1      0.000046       0.0
  142    2242        1     -0.001157      -1.0
  142    1416        1      0.00000        0.0
  142    1591        1      0.00000       -1.0
  143    2454        1      0.000052       0.0
  143    2242        1     -0.001249      -1.0
  144    2454        1      0.000113       0.0
  144  2700      1     -0.000072       1.0
  144    2242        1      0.000590      -1.0
  145    2700        1     -0.000025       1.0
  145    2454        1      0.000058      -1.0
  146    2700        1      0.000012       1.0
  146    2454        1      0.000016      -2.0
  147    2700        1      0.000042       1.0
  147    2454        1     -0.000019      -2.0
  148    2700        1      0.000074       1.0
  148    2454        1     -0.000056      -1.0
  149    2700        1      0.000109       1.0
  149    2454        1     -0.000096      -1.0
  150    2700        1      0.000145       1.0
  150    2454        1     -0.000137      -1.0
